"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SANIMA","2022-01-13","384","385","373","384","1.05 %","71,088.00"
"SANIMA","2022-01-12","384.1","390","379","380","-1.04 %","78,811.00"
"SANIMA","2022-01-11","385","388","381","384","-0.26 %","87,321.00"
"SANIMA","2022-01-10","384","390","382","385","0.03 %","91,331.00"
"SANIMA","2022-01-09","370.5","390","370.5","384.9","1.83 %","177,321.00"
"SANIMA","2022-01-06","377","381.9","375","378","0.53 %","61,095.00"
"SANIMA","2022-01-05","384","392.5","373","376","-1.54 %","80,827.00"
"SANIMA","2022-01-04","368","384","365","381.9","2.66 %","62,937.00"
"SANIMA","2022-01-03","367.9","377","366","372","2.48 %","55,415.00"
"SANIMA","2022-01-02","354","365","354","363","2.54 %","53,951.00"
"SANIMA","2021-12-29","355","356","350","354","0.57 %","40,088.00"
"SANIMA","2021-12-28","355","355","338.2","352","-1.12 %","36,901.00"
"SANIMA","2021-12-27","355","363","355","356","-0.56 %","63,171.00"
"SANIMA","2021-12-26","355","362","348.5","358","2.29 %","53,556.00"
"SANIMA","2021-12-23","347","353","344.1","350","0.72 %","37,310.00"
"SANIMA","2021-12-22","340","349","340","347.5","3.12 %","24,319.00"
"SANIMA","2021-12-21","338","340","332","337","1.51 %","17,326.00"
"SANIMA","2021-12-20","341.8","341.8","328","332","-0.93 %","40,645.00"
"SANIMA","2021-12-16","340","340","333","335.1","-1.44 %","20,844.00"
"SANIMA","2021-12-15","347.8","355","330.1","340","-0.29 %","53,525.00"
"SANIMA","2021-12-14","328","345","324.2","341","5.83 %","16,643.00"
"SANIMA","2021-12-13","326","326","319","322.2","-1.47 %","45,060.00"
"SANIMA","2021-12-12","338","340","327","327","-3.54 %","43,009.00"
"SANIMA","2021-12-09","341","345","335","339","-1.45 %","35,942.00"
"SANIMA","2021-12-08","357","357","342","344","-1.71 %","34,025.00"
"SANIMA","2021-12-07","358","359","350","350","-0.28 %","37,126.00"
"SANIMA","2021-12-06","353.9","354","340","351","0.29 %","54,999.00"
"SANIMA","2021-12-05","352","358","350","350","-1.96 %","59,627.00"
"SANIMA","2021-12-02","360","365","357","357","-0.83 %","38,037.00"
"SANIMA","2021-12-01","361","365","358","360","0.28 %","31,431.00"
"SANIMA","2021-11-30","362","362.5","355","359","0.56 %","48,904.00"
"SANIMA","2021-11-29","359","366","355","357","-1.11 %","94,402.00"
"SANIMA","2021-11-28","373.1","375","360","361","-3.76 %","71,149.00"
"SANIMA","2021-11-25","378.5","382","373","375.1","-0.50 %","43,608.00"
"SANIMA","2021-11-24","381.9","381.9","373","377","-1.28 %","59,461.00"
"SANIMA","2021-11-23","387.9","387.9","381.1","381.9","-1.55 %","41,575.00"
"SANIMA","2021-11-22","385","388.4","383","387.9","1.02 %","36,330.00"
"SANIMA","2021-11-21","393","394.9","384","384","-1.29 %","40,428.00"
"SANIMA","2021-11-18","398","400","386","389","-1.77 %","46,042.00"
"SANIMA","2021-11-17","405","407.8","395","396","-1.25 %","39,497.00"
"SANIMA","2021-11-16","386","404.9","381","401","3.89 %","71,340.00"
"SANIMA","2021-11-15","385","390","382.2","386","0.52 %","35,600.00"
"SANIMA","2021-11-14","390.5","390.5","380","384","0.26 %","45,599.00"
"SANIMA","2021-11-11","385","390","380","383","-1.79 %","60,551.00"
